indicator,date,rate,symbol
high,2022-01-04 15:43:00,2898.22,GOOGL
low,2022-01-04 15:43:00,2896.21,GOOGL
close,2022-01-04 15:43:00,2898.0291,GOOGL
open,2022-01-04 15:42:00,2895.78,GOOGL
high,2022-01-04 15:42:00,2895.78,GOOGL
low,2022-01-04 15:42:00,2895.78,GOOGL
close,2022-01-04 15:42:00,2895.78,GOOGL
open,2022-01-04 15:41:00,2895.625,GOOGL
high,2022-01-04 15:41:00,2897.51,GOOGL
low,2022-01-04 15:41:00,2895.625,GOOGL
close,2022-01-04 15:41:00,2897.51,GOOGL
open,2022-01-04 15:40:00,2896.18,GOOGL
high,2022-01-04 15:40:00,2896.99,GOOGL
low,2022-01-04 15:40:00,2896.07,GOOGL
close,2022-01-04 15:40:00,2896.135,GOOGL
open,2022-01-04 15:38:00,2894.68,GOOGL
high,2022-01-04 15:38:00,2894.94,GOOGL
low,2022-01-04 15:38:00,2894.68,GOOGL
close,2022-01-04 15:38:00,2894.94,GOOGL
open,2022-01-04 15:37:00,2895.53,GOOGL
high,2022-01-04 15:37:00,2895.59,GOOGL
low,2022-01-04 15:37:00,2894.97,GOOGL
close,2022-01-04 15:37:00,2894.97,GOOGL
open,2022-01-04 15:36:00,2893.96,GOOGL
high,2022-01-04 15:36:00,2895.67,GOOGL
low,2022-01-04 15:36:00,2893.96,GOOGL
close,2022-01-04 15:36:00,2895.25,GOOGL
open,2022-01-04 15:35:00,2894.8105,GOOGL
high,2022-01-04 15:35:00,2895.19,GOOGL
low,2022-01-04 15:35:00,2893.81,GOOGL
close,2022-01-04 15:35:00,2893.91,GOOGL
open,2022-01-04 15:34:00,2894.44,GOOGL
high,2022-01-04 15:34:00,2895.09,GOOGL
low,2022-01-04 15:34:00,2894.295,GOOGL
close,2022-01-04 15:34:00,2894.8086,GOOGL
open,2022-01-04 15:33:00,2893.15,GOOGL
high,2022-01-04 15:33:00,2894.57,GOOGL
low,2022-01-04 15:33:00,2893.15,GOOGL
close,2022-01-04 15:33:00,2894.1428,GOOGL
open,2022-01-04 15:32:00,2895.15,GOOGL
high,2022-01-04 15:32:00,2895.15,GOOGL
low,2022-01-04 15:32:00,2892.85,GOOGL
close,2022-01-04 15:32:00,2892.85,GOOGL
open,2022-01-04 15:31:00,2895.85,GOOGL
high,2022-01-04 15:31:00,2896.22,GOOGL
low,2022-01-04 15:31:00,2895.675,GOOGL
close,2022-01-04 15:31:00,2895.675,GOOGL
open,2022-01-04 15:30:00,2896.77,GOOGL
high,2022-01-04 15:30:00,2896.8,GOOGL
low,2022-01-04 15:30:00,2895.86,GOOGL
close,2022-01-04 15:30:00,2895.98,GOOGL
open,2022-01-04 15:29:00,2896.41,GOOGL
high,2022-01-04 15:29:00,2896.71,GOOGL
low,2022-01-04 15:29:00,2895.86,GOOGL
